region,Year,week,date,bloom_stage,T2M,T2M_pred,T2M_final,T2M_MAX,T2M_MAX_pred,T2M_MAX_final,T2M_MIN,T2M_MIN_pred,T2M_MIN_final,PRECTOTCORR,PRECTOTCORR_pred,PRECTOTCORR_final,RH2M,RH2M_pred,RH2M_final,VPD,VPD_pred,VPD_final,ET0,ET0_pred,ET0_final,QV2M,QV2M_pred,QV2M_final,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN_pred,ALLSKY_SFC_SW_DWN_final,PS,PS_pred,PS_final
usa_11,2019,5,2019-02-01,NoBloom,10.423017857142856,,10.423017857142856,13.50911607142857,,13.50911607142857,8.0554375,,8.0554375,6.914642857142857,,6.914642857142857,81.76642857142858,,81.76642857142858,1.3018737513942278,,1.3018737513942278,5.412242981189939,,5.412242981189939,0.0069353214285713,,0.0069353214285713,9.093607142857142,,9.093607142857142,94.66123214285714,,94.66123214285714
usa_11,2019,6,2019-02-08,NoBloom,5.444,,5.444,8.530758928571428,,8.530758928571428,2.5308392857142854,,2.5308392857142854,4.232232142857143,,4.232232142857143,76.88976785714286,,76.88976785714286,0.972040537366732,,0.972040537366732,5.063555197325591,,5.063555197325591,0.0047638482142856,,0.0047638482142856,11.607071428571428,,11.607071428571428,95.00699107142856,,95.00699107142856
usa_11,2019,7,2019-02-15,NoBloom,6.886517857142858,,6.886517857142858,9.927607142857145,,9.927607142857145,3.948392857142857,,3.948392857142857,7.524705357142857,,7.524705357142857,79.10117857142856,,79.10117857142856,1.0659530550676115,,1.0659530550676115,5.5670110758757385,,5.5670110758757385,0.0054865982142856,,0.0054865982142856,10.34025,,10.34025,94.89126785714286,,94.89126785714286
usa_11,2019,8,2019-02-22,NoBloom,5.290473214285714,,5.290473214285714,9.030392857142855,,9.030392857142855,2.0301964285714287,,2.0301964285714287,0.4366160714285714,,0.4366160714285714,71.57516964285715,,71.57516964285715,0.9665719604780209,,0.9665719604780209,5.291771037101031,,5.291771037101031,0.004362544642857,,0.004362544642857,15.129392857142856,,15.129392857142856,95.28238392857142,,95.28238392857142
usa_11,2019,9,2019-03-01,SoB / Superbloom,9.770464285714286,,9.770464285714286,12.902517857142858,,12.902517857142858,7.2871875,,7.2871875,6.294178571428572,,6.294178571428572,83.32672321428572,,83.32672321428572,1.2423282891009657,,1.2423282891009657,5.536854643099078,,5.536854643099078,0.0067385535714285,,0.0067385535714285,11.650714285714283,,11.650714285714283,95.10883035714286,,95.10883035714286
usa_11,2019,10,2019-03-08,SoB / Superbloom,8.184857142857144,,8.184857142857144,11.204919642857144,,11.204919642857144,5.590455357142857,,5.590455357142857,5.231303571428571,,5.231303571428571,80.41081249999999,,80.41081249999999,1.1261918712685204,,1.1261918712685204,5.551317820942762,,5.551317820942762,0.0058436874999999,,0.0058436874999999,13.297464285714288,,13.297464285714288,94.92723214285716,,94.92723214285716
usa_11,2019,11,2019-03-15,SoB,9.02394642857143,,9.02394642857143,13.471571428571428,,13.471571428571428,5.175991071428571,,5.175991071428571,0.0903124999999999,,0.0903124999999999,70.72488392857143,,70.72488392857143,1.1976879987333449,,1.1976879987333449,6.730363498642309,,6.730363498642309,0.005447482142857,,0.005447482142857,20.79885714285714,,20.79885714285714,95.4648125,,95.4648125
usa_11,2019,12,2019-03-22,MoB,10.4063125,,10.4063125,13.9455,,13.9455,7.190428571428572,,7.190428571428572,2.351169642857143,,2.351169642857143,77.7491875,,77.7491875,1.2963492848869276,,1.2963492848869276,6.072936925213609,,6.072936925213609,0.0064392857142856,,0.0064392857142856,17.034857142857142,,17.034857142857142,95.32516071428572,,95.32516071428572
usa_11,2019,13,2019-03-29,MoB,11.081848214285714,,11.081848214285714,15.193419642857142,,15.193419642857142,7.447705357142857,,7.447705357142857,1.4551607142857144,,1.4551607142857144,74.88650892857143,,74.88650892857143,1.350658928672548,,1.350658928672548,7.162618944348921,,7.162618944348921,0.0064510178571428,,0.0064510178571428,20.773714285714284,,20.773714285714284,95.53464285714286,,95.53464285714286
usa_11,2019,14,2019-04-05,MoB,12.346330357142858,,12.346330357142858,15.916348214285714,,15.916348214285714,9.297830357142857,,9.297830357142857,0.9042142857142856,,0.9042142857142856,79.79336607142857,,79.79336607142857,1.4605877999420234,,1.4605877999420234,6.44031265918909,,6.44031265918909,0.0074549999999999,,0.0074549999999999,16.98857142857143,,16.98857142857143,95.22417857142857,,95.22417857142857
usa_11,2019,15,2019-04-12,PoB,11.792392857142858,,11.792392857142858,15.84075,,15.84075,8.093276785714286,,8.093276785714286,0.1638571428571428,,0.1638571428571428,74.55398214285715,,74.55398214285715,1.4193924021751476,,1.4193924021751476,8.133770158317628,,8.133770158317628,0.0067105535714285,,0.0067105535714285,22.277214285714287,,22.277214285714287,95.41246428571428,,95.41246428571428
usa_11,2019,16,2019-04-19,PoB,12.839339285714283,,12.839339285714283,17.174982142857143,,17.174982142857143,8.799901785714287,,8.799901785714287,0.4617053571428571,,0.4617053571428571,74.49265178571429,,74.49265178571429,1.5126671824131637,,1.5126671824131637,7.920427442705639,,7.920427442705639,0.007043794642857,,0.007043794642857,21.782035714285715,,21.782035714285715,95.2486875,,95.2486875
usa_11,2019,17,2019-04-26,LPoB,15.6115625,,15.6115625,20.627357142857143,,20.627357142857143,11.0800625,,11.0800625,0.0548839285714285,,0.0548839285714285,68.55147321428572,,68.55147321428572,1.81643008893576,,1.81643008893576,8.861947080417147,,8.861947080417147,0.0075408928571428,,0.0075408928571428,24.525892857142857,,24.525892857142857,95.11300892857142,,95.11300892857142
usa_11,2019,18,2019-05-03,EoB,13.419696428571427,,13.419696428571427,18.05382142857143,,18.05382142857143,9.253732142857142,,9.253732142857142,0.1247232142857142,,0.1247232142857142,68.47325892857143,,68.47325892857143,1.559772499522067,,1.559772499522067,8.30133654074197,,8.30133654074197,0.0066006249999999,,0.0066006249999999,24.744714285714288,,24.744714285714288,94.962625,,94.962625
